BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
BOF.AR.14.1903-1904,"Relocator, azimuth instrument, and range scale",Capt. W. C. Rafferty.,,"The Azimuth Instrument was a U.S. optical device used to measure angles for coastal and field artillery targeting. Adopted by the Coast Artillery Corps and later modified into the M1918A2, it improved existing technology for precise spotting before digital systems. It is not in use today. The relocator and range scale were mechanical components on artillery instruments that allowed operators to adjust aim and distance








",https://radionerds.com/images/c/c9/TM9-1680.pdf,"Brigadier General Rafferty commanded the 54th and later oversaw the coast defenses of the Columbia River at Fort Stevens, Oregon. He was a key figure during the Spanish-American War and in commanding artillery districts across the Eastern U.S. and Hawaii.
","https://www.findagrave.com/memorial/49352587/william-carroll-rafferty#:~:text=GEN.%20W.C.%20RAFFERTY%2C%2082%2C%20DIES%20AT%20CAPITAL,War%20%2D%2D%2D%2D%2D%2D%2D%2D%2D%2D%20Was%20In%20Charge%20Of%20Galveston",No,,Sheet1,"Relocator, azimuth instrument, and range scale",nan,nan,Capt. W. C. Rafferty.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,"Tests of Luger pistol, report",Chief of Ordnance.,,"The Luger pistol was a semi-automatic handgun designed to improve speed, accuracy, and reliability over revolvers then in use. It featured a unique toggle-lock action and was among the first widely adopted sidearms to use the now-standard 9mm Parabellum cartridge. Though not adopted by the U.S. military after early trials, it became iconic through German use in both world wars and remains preserved in military collections and museums worldwide.
",https://en.wikipedia.org/wiki/Luger_pistol,"William Crozier was the chief of the ordnance. This was an elite group of officers who were responsible for designing, testing, and supplying arms and equipment for the army.","“William Crozier 1876,” West Point Association of Graduates.",Yes,"The Luger pistol, officially, is one of the most iconic semi-automatic handguns in history. I am curious as to why the U.S. decided not to adopt it. ",Sheet1,"Tests of Luger pistol, report",nan,"The Luger pistol, officially, is one of the most iconic semi-automatic handguns in history. I am curious as to why the U.S. decided not to adopt it.",Chief of Ordnance.,Investigating,['Small Arms'],Small Arms,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Device for automatic training of guns,Morgan Engineering Co. ,,,,"The company played a key role in U.S. defense by producing large gun carriages and ordnance equipment, including the 10-inch Disappearing Gun Carriage. Morgan Engineering later became a major force in industrial and defense manufacturing, supplying equipment for wars and heavy industries throughout the 20th century.",https://www.morganengineering.com/about-us/our-history/,Yes,With the company's long standing relationship with U.S. defense contracts would be interesting to go back in a deeper dive. ,Sheet1,Device for automatic training of guns,nan,With the company's long standing relationship with U.S. defense contracts would be interesting to go back in a deeper dive.,Morgan Engineering Co.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Artillery correction device,Capt. E. W. Hubbard. ,,,,,,No,,Sheet1,Artillery correction device,nan,nan,Capt. E. W. Hubbard.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Metallic reflector for searchlights,Sergt. Tam C. McGregor.,,,,,,No,,Sheet1,Metallic reflector for searchlights,nan,nan,Sergt. Tam C. McGregor.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Need of intrenching tool,Chief of Ordnance.,,,,"William Crozier was the chief of the ordnance. This was an elite group of officers who were responsible for designing, testing, and supplying arms and equipment for the army.","“William Crozier 1876,” West Point Association of Graduates.",No,,Sheet1,Need of intrenching tool,nan,nan,Chief of Ordnance.,Investigating,[],Other/Unclassified,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Grenfell system of sighting,Driggs-Seabury Ordnance Corporation.,,This seems to be a gun sight and range indicator invented by Hubert H. Grenfell. He applied a telescope to the head of the day sight. Grenfell's sight presented objects right-way up instead of inverted. ,https://www.gracesguide.co.uk/Engineering_1906_Jul-Dec:_Index:_General_Index,"Founded in 1897, the Driggs-Seabury Ordnance Company was established by naval officers and produced artillery for the U.S. Army and Navy. Known for earlier rapid-fire gun designs, the founders contributed to coastal and naval weapons development. The company later merged into Savage Arms and remained influential in early U.S. defense manufacturing.","https://en.wikipedia.org/wiki/Driggs-Seabury#:~:text=Driggs%2DSeabury%20Ordnance%20Company%20was,Navy%20designed%20by%20the%20partners.",No,,Sheet1,Grenfell system of sighting,nan,nan,Driggs-Seabury Ordnance Corporation.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,"High explosive shell, new trial",Willard S. Isham.,,"High‑explosive shells are artillery projectiles that are filled with a bursting charge designed to detonate on impact or in the air, scattering high-velocity fragments that inflict damage through blast and shrapnel rather than kinetic penetration. They were a replacement for black-powder shells and shrapnel rounds. This offers a greater destructive effect over a wider area. Nowadays, high-explosive shells remain common in artillery forces worldwide and are widely preserved in historical collections.","https://en.wikipedia.org/wiki/Shell_(projectile), https://rimworldwiki.com/wiki/High-explosive_shell",,,No,,Sheet1,"High explosive shell, new trial",nan,nan,Willard S. Isham.,Investigating,['Explosives'],Explosives,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,"Test of cemented and noncemented steel plates, report",Ordnance Board.,,"I believe this is describing Krupp armor, stell naval armour used for capital ships. Cemented steel plates had a hard outer layer and softer back, offering strong resistance to penetration and cracking. Non-cemented Krupp armor used chromium-alloyed steel hardened throughout and was an earlier advancement in naval protection.","https://en.wikipedia.org/wiki/Krupp_armour#:~:text=Krupp%20armour%20was%20swiftly%20adopted,roughly%20equal%20in%20other%20respects.",,,No,,Sheet1,"Test of cemented and noncemented steel plates, report",nan,nan,Ordnance Board.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Brake for field artillery,S. Giuliano. ,,,,,,No,,Sheet1,Brake for field artillery,nan,nan,S. Giuliano.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Torpedo,Alex. Frus. ,,"This may be in reference to the Bliss-Leavitt Mark 1 torpedo, which was adopted by the US Navy for us in an anti-surface ship role. ",https://en.wikipedia.org/wiki/Bliss-Leavitt_Mark_1_torpedo,,,No,,Sheet1,Torpedo,nan,nan,Alex. Frus.,Investigating,['Explosives'],Explosives,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Magazine rifle and bayonet,Benjamin F. Perry.,,"This is likely the M1903 Springfield, an American five-round repeating service rifle, which was officially adopted by the United States as the standard infantry rifle on 19 June 1903. It saw service in World War I and was replaced by the eight-round M1 Garand starting in 1936. However, the M1903 was used during World War II, since the U.S. entered the war without sufficient M1 rifles to arm all troops.",https://en.wikipedia.org/wiki/M1903_Springfield,,,Yes,This weapon was used in WW1 and WW2 ,Sheet1,Magazine rifle and bayonet,nan,This weapon was used in WW1 and WW2,Benjamin F. Perry.,Investigating,['Small Arms'],Small Arms,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Device for eliminating recoil,S. Balla.,,This could be the Pedersen device which was an experimental device used on the M1903 Springfield. It allowed the infantryman to convert their rifle to a form of submachine gun.,"https://en.wikipedia.org/wiki/Pedersen_device#:~:text=The%20Pedersen%20device%20was%20an,before%20they%20could%20be%20fielded.",,,No,,Sheet1,Device for eliminating recoil,nan,nan,S. Balla.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Cylindrical hollow projectile,J. K. Street. ,,"The cylindrical hollow projectiles aimed to enhance accuracy, range, or terminal effect. The first hollow-point bullets were marketed in the late 19th century as express bullets and were hollowed out to reduce the bullet's mass and provide higher velocities. ","https://en.wikipedia.org/wiki/Hollow-point_bullet#:~:text=Hollow%2Dpoint%20bullets%20are%20used,due%20to%20the%20larger%20meplat.",,,No,,Sheet1,Cylindrical hollow projectile,nan,nan,J. K. Street.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Compound armor plate,G. Dittmar. ,,,,,,No,,Sheet1,Compound armor plate,nan,nan,G. Dittmar.,Investigating,['Armor and Protection'],Armor and Protection,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Field-gun carriage,Otto Grunwald. ,,"The field-gun carriage M1903 was a fixed pedestal or barbette-style mount made by the U.S. Army for rapid-firing coastal defense guns. It was designed for permanent emplacements, allowing 360-degree traverse and elevation control to track fast naval targets like torpedo boats. It remained in service through WWII.",https://en.wikipedia.org/wiki/3-inch_gun_M1903,,,No,,Sheet1,Field-gun carriage,nan,nan,Otto Grunwald.,Investigating,['Artillery'],Artillery,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Device to prevent man from falling from saddle ,James Roseberry.,,,,,,No,,Sheet1,Device to prevent man from falling from saddle,nan,nan,James Roseberry.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,6-inch wire-wound gun,Chief of Ordnance. ,,"This is the Brown Wire Gun Co.'s invention, it is a segmental tube wire-wound gun. ",https://www.govinfo.gov/content/pkg/SERIALSET-05150_00_00-040-0090-0000/pdf/SERIALSET-05150_00_00-040-0090-0000.pdf,"William Crozier was the chief of the ordnance. This was an elite group of officers who were responsible for designing, testing, and supplying arms and equipment for the army.","“William Crozier 1876,” West Point Association of Graduates.",No,,Sheet1,6-inch wire-wound gun,nan,nan,Chief of Ordnance.,Investigating,['Artillery'],Artillery,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Engineer equipment pouches,Chief of Engineers. ,,,,,,No,,Sheet1,Engineer equipment pouches,nan,nan,Chief of Engineers.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Malleable iron projectile,Park E. Shee. ,,,,,,No,,Sheet1,Malleable iron projectile,nan,nan,Park E. Shee.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Payment for plotting boards,Chief of Ordnance. ,,"Plotting boards are a mechanical fire-control device used by the U.S. Army Coast Artillery Corps to track moving targets and calculate azimuth and range data for coastal gun batteries. Proposed and developed within the U.S. military, it addressed the challenge of engaging fast-moving naval targets before the advent of radar.",https://en.wikipedia.org/wiki/Plotting_board,"William Crozier was the chief of the ordnance. This was an elite group of officers who were responsible for designing, testing, and supplying arms and equipment for the army.","“William Crozier 1876,” West Point Association of Graduates.",No,,Sheet1,Payment for plotting boards,nan,nan,Chief of Ordnance.,Investigating,[],Other/Unclassified,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,"Hotchkiss 1-pounder gun, exchange",American and British Manufacturing Co. ,,"The Hotchkiss 1‑pounder revolving cannon was a rapid-fire 37 mm naval and field gun firing 1‑pound explosive, canister, or armor‑piercing shells from a five-barrel rotating assembly.",https://en.wikipedia.org/wiki/Hotchkiss_gun,"The company was founded in 1902. They manufactured firearms, ammunition, steam engines, hot-bulb engines, automobile engines, marine engines, and repairs.",https://de.wikipedia.org/wiki/American_%26_British_Manufacturing_Corporation,No,,Sheet1,"Hotchkiss 1-pounder gun, exchange",nan,nan,American and British Manufacturing Co.,Investigating,['Artillery'],Artillery,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Safety device for target ranges,Gen. R. P. Hughes.,,,,"Major General Robert Patterson Hughes was a highly decorated U.S. Army officer who served from the Civil War through the Philippine–American War, eventually retiring in 1903",https://en.wikipedia.org/wiki/Robert_Patterson_Hughes,No,,Sheet1,Safety device for target ranges,nan,nan,Gen. R. P. Hughes.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Portable range finder,James Gordon Stewart.,,,,,,No,,Sheet1,Portable range finder,nan,nan,James Gordon Stewart.,Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Horizontal base range finder,Lieut. M. M. Cloud and M. F. Volkman.,,,,,,No,,Sheet1,Horizontal base range finder,nan,nan,Lieut. M. M. Cloud and M. F. Volkman.,Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Continuous reading range and azimuth,Bethlehem Steel Co. ,,,,"Bethlehem Steel was established in 1899. Charles M. Schwab, former president of Carnegie Steel and U.S. Steel, and Joseph Wharton, Wharton School founder, proposed the reorganization that became Bethlehem Steel Corporation in 1904. The company they launched soon became one of the United States’ most influential defense and shipbuilding firms, shaping national industrial capacity well into the 20th century.","https://en.wikipedia.org/wiki/Bethlehem_Steel#:~:text=In%201899%2C%20Bethlehem%20Steel%20Company,by%20the%20Bethlehem%20Iron%20Company.",No,,Sheet1,Continuous reading range and azimuth,nan,nan,Bethlehem Steel Co.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Test of Bofors 15-cm. gun,Chief of Ordnance .,,"This is a naval gun used on ships, primarily the Swedish navy. It was never implemented by the United States.","https://en.wikipedia.org/wiki/Bofors_15,2_cm_kanon_m/42","William Crozier was the chief of the ordnance. This was an elite group of officers who were responsible for designing, testing, and supplying arms and equipment for the army.","“William Crozier 1876,” West Point Association of Graduates.",No,,Sheet1,Test of Bofors 15-cm. gun,nan,nan,Chief of Ordnance .,Investigating,['Artillery'],Artillery,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Remodeled Lewis position finder,United States Rapid Fire Gun and Power Co. ,,,,Driggs-Seabury was acquired by the US Rapid Fire Gun and Power Co. Originally was established to create guns for the army.,https://en.wikipedia.org/wiki/Driggs-Seabury,No,,Sheet1,Remodeled Lewis position finder,nan,nan,United States Rapid Fire Gun and Power Co.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Armored forts and turrets,H. L. Cole.,,,,,,No,,Sheet1,Armored forts and turrets,nan,nan,H. L. Cole.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Fortification,Alfred J. Andreson.,,,,,,No,,Sheet1,Fortification,nan,nan,Alfred J. Andreson.,Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Cartridge case for small arms,Frank Tusker. ,,,,,,No,,Sheet1,Cartridge case for small arms,nan,nan,Frank Tusker.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Disappearing fence,I. B. Abraham.,,,,,,No,,Sheet1,Disappearing fence,nan,nan,I. B. Abraham.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Multiball cartridge,Aksel Malin.,,"Multiball cartridges have three lead balls, designed with the idea of more balls going down range per shot would inflict more damange. The U.S. military and law‑enforcement agencies tested a few loads but never adopted them widely because accuracy and terminal performance were inconsistent.",https://www.ammo-one1.com/product/45-govt-3-by-umc-1903-multiball-one-cartridge-not-a-box/,,,No,,Sheet1,Multiball cartridge,nan,nan,Aksel Malin.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Intrenching tool,Robert Henderson. ,,"The intrenching tool is a compact digging implement used by soldiers for field fortification, originally designed to let infantry quickly dig trenches. First modernized by a Danish officer in 1869 and evolved into various military-issue tools, including folding and multi-purpose versions still used today.",https://en.wikipedia.org/wiki/Entrenching_tool,,,No,,Sheet1,Intrenching tool,nan,nan,Robert Henderson.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,"Electrical equipment, removal",Chief of Ordnance.,,,,"William Crozier was the chief of the ordnance. This was an elite group of officers who were responsible for designing, testing, and supplying arms and equipment for the army.","“William Crozier 1876,” West Point Association of Graduates.",No,,Sheet1,"Electrical equipment, removal",nan,nan,Chief of Ordnance.,Investigating,[],Other/Unclassified,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Test of ammunition carts,Board of Ordnance and Fortification.,,,,,,No,,Sheet1,Test of ammunition carts,nan,nan,Board of Ordnance and Fortification.,Investigating,[],Other/Unclassified,Government,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Semi-automatic guns,Driggs-Seabury Ordnance Corporation.,,This could be a wide range of semi-automatic guns produced at the time like the Winchester Model and Colt Model. This is a self-loading gun. It was invented in the late 1880s and was adopted by the U.S. military in the early 20th century.,https://en.wikipedia.org/wiki/Semi-automatic_firearm,"Founded in 1897, the Driggs-Seabury Ordnance Company was established by naval officers and produced artillery for the U.S. Army and Navy. Known for earlier rapid-fire gun designs, the founders contributed to coastal and naval weapons development. The company later merged into Savage Arms and remained influential in early U.S. defense manufacturing.","https://en.wikipedia.org/wiki/Driggs-Seabury#:~:text=Driggs%2DSeabury%20Ordnance%20Company%20was,Navy%20designed%20by%20the%20partners.",Yes,"This was about the time that semi-automatic guns were invented, used by the public, and adopted by the military. These guns were widely used in WW1 and WW2. ",Sheet1,Semi-automatic guns,nan,"This was about the time that semi-automatic guns were invented, used by the public, and adopted by the military. These guns were widely used in WW1 and WW2.",Driggs-Seabury Ordnance Corporation.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Semi-automatic sight ,Capt. E. W. Hubbard and Capt. S. C Vestal.,,,,,,No,,Sheet1,Semi-automatic sight,nan,nan,Capt. E. W. Hubbard and Capt. S. C Vestal.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Canteen,Lanz Manufacturing Co.,,Reusable drinking water bottle. This time period saw a change from a glass bottle in a woven basket cover to metal with a screw cap. ,"https://en.wikipedia.org/wiki/Canteen_(bottle)#:~:text=Later%2C%20canteens%20consisted%20of%20a,early%20as%2060%2C000%20years%20ago.","I believe this to be Heinrich Lanz AG, a former agricultural machinery manufacturer from Germany. It later was acquired by John Deere Company. ","https://en.wikipedia.org/wiki/Heinrich_Lanz_AG#:~:text=History,of%20Moline%2C%20Illinois%2C%20United%20States",No,,Sheet1,Canteen,nan,nan,Lanz Manufacturing Co.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Small arm,John R. Hamilton. ,,,,,,No,,Sheet1,Small arm,nan,nan,John R. Hamilton.,Investigating,['Small Arms'],Small Arms,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
BOF.AR.14.1903-1904,Appliances for range finding,Henry Hess.,,,,,,No,,Sheet1,Appliances for range finding,nan,nan,Henry Hess.,Investigating,[],Other/Unclassified,Private,1903,0,0,1,Copy of Subjects Considered 1903-1904.xlsx
